State,Area,Address,Store Name,Rating,Review Count,Store Status
Melaka,Alor Gajah,"Address: Lot 4570 Taman Buaya Melaka, Mukim Bukit Katil, Daerah, 75320 Ayer Keroh, Malacca ",McDonald's Taman Buaya DT,4.1,,Operating
Melaka,Alor Gajah,"Address: Utama MV, 75, Jalan Inang, 76450 3 ",McDonald's Bandar Utama Cheng,4.0,,Operating
Melaka,Alor Gajah,"Address: Lot PT 13668, Mukim Batu Berendam, Melaka Tengah, 75350 Hang Tuah Jaya, Malacca ",McDonald's Batu Berendam DT,4.1,,Operating
Melaka,Alor Gajah,"Address: Lot 15702, Mukim Bukit Katil, Daerah Melaka Tengah, Hang Tuah Jaya, 75450, Malacca ",McDonald's MITC Melaka DT,4.2,,Operating
Melaka,Alor Gajah,"Address: Lot 4985, Jalan Tun Hamzah, Mukim, 75450 Bukit Katil, Melaka ",McDonald's Petronas Bukit Katil DT,4.1,,No status
Melaka,Alor Gajah,"Address: GM 229, Lot 18859, Mukim Bertam, Daerah, 75260, Malacca ",McDonald's AMJ Bertam DT,4.2,,Operating
Melaka,Alor Gajah,"Address: Sebahagian Lot 23344, Jalan Pantai Belimbing, 75260 Krubong, Malacca ",McDonald's Caltex Krubong DT,3.1,,No status
Melaka,Alor Gajah,"Address: Lot 613, Jln Seremban - Tampin, Kampung Tampin, 73000 Tampin, Negeri Sembilan ",McDonald's Tampin DT,3.9,,Operating
Melaka,Alor Gajah,"Address: Jalan Jasin - Melaka, 77000 Bemban, Melaka ",McDonald's Jasin DT,3.7,,Operating
Melaka,Alor Gajah,"Address: 17, Jalan Dato Dol Said, Prima Alor Gajah, 78000 Alor Gajah, Melaka ",KFC,4.0,,Operating
Melaka,Alor Gajah,"Address: PT 6370, Jalan BMU 1, Bandar Baru Merlimau Utara, 77300 Merlimau, Melaka ",McDonald's Merlimau DT,4.3,,Operating
Melaka,Alor Gajah,"Address: No. 15, 1, Jalan Perniagaan Jelatang 1, Kompleks Perniagaan Jelatang, 78000 Alor Gajah, Melaka ",Pizza Hut,4.1,,Operating
Melaka,Tangga Batu,"Address: Lot A02, Dataran Pahlawan Melaka Megamall, Jln Merdeka, 75000, Malacca ",McDonald's Dataran Pahlawan DT,4.0,,Operating
Melaka,Tangga Batu,"Address: FG-15 & FG-16, Ground Floor, Dataran Pahlawan Melaka Megamall, Jln Merdeka, 75000, Melaka ",McDonald's Dataran Pahlawan 2,4.1,,Operating
Melaka,Tangga Batu,"Address: Lot PT 13668, Mukim Batu Berendam, Melaka Tengah, 75350 Hang Tuah Jaya, Malacca ",McDonald's Batu Berendam DT,4.1,,Operating
Melaka,Tangga Batu,"Address: Banda Hilir, 75000 Malacca ",McDonald's Kiosk Dataran Pahlawan,2.5,,Operating
Melaka,Tangga Batu,"Address: Kampung Enam, 75300 Malacca ",McDonald's Jalan Tun Perak DT,2.7,,Operating
Melaka,Tangga Batu,"Address: Plaza Melaka Sentral, Lot No. 59, Zone D, Ground Floor, 75000, Malacca ",McDonald's Melaka Sentral,3.5,,Operating
Melaka,Tangga Batu,"Address: Lot PT188, Pekan Klebang Sek. IV, Daerah, 75200 Malacca ",McDonald's Kota Laksamana DT,4.1,,Operating
Melaka,Tangga Batu,"Address: Lot PT 3368, Leboh Ayeh Keroh, Bukit Baru, Melaka Tengah, Malaysia, Melaka, 75450 Malacca ",McDonald's Melaka Mall DT,4.0,,Operating
Melaka,Tangga Batu,"Address: GM 229, Lot 18859, Mukim Bertam, Daerah, 75260, Malacca ",McDonald's AMJ Bertam DT,4.2,,Operating
Melaka,Tangga Batu,"Address: Lot 15702, Mukim Bukit Katil, Daerah Melaka Tengah, Hang Tuah Jaya, 75450, Malacca ",McDonald's MITC Melaka DT,4.2,,Operating
Melaka,Tangga Batu,"Address: Utama MV, 75, Jalan Inang, 76450 3 ",McDonald's Bandar Utama Cheng,4.0,,Operating
Melaka,Tangga Batu,"Address: Lot 4985, Jalan Tun Hamzah, Mukim, 75450 Bukit Katil, Melaka ",McDonald's Petronas Bukit Katil DT,4.1,,No status
Melaka,Tangga Batu,"Address: Lot 4570 Taman Buaya Melaka, Mukim Bukit Katil, Daerah, 75320 Ayer Keroh, Malacca ",McDonald's Taman Buaya DT,4.1,,Operating
Melaka,Tangga Batu,"Address: Jalan Jasin - Melaka, 77000 Bemban, Melaka ",McDonald's Jasin DT,3.7,,Operating
Melaka,Tangga Batu,"Address: Sebahagian Lot 23344, Jalan Pantai Belimbing, 75260 Krubong, Malacca ",McDonald's Caltex Krubong DT,3.1,,No status
Melaka,Tangga Batu,"Address: PT 6370, Jalan BMU 1, Bandar Baru Merlimau Utara, 77300 Merlimau, Melaka ",McDonald's Merlimau DT,4.3,,Operating
Melaka,Hang Tuah Jaya,"Address: Lot A02, Dataran Pahlawan Melaka Megamall, Jln Merdeka, 75000, Malacca ",McDonald's Dataran Pahlawan DT,4.0,,Operating
