State,Area,Address,Store Name,Rating,Review Count,Store Status
Johor,Batu Pahat,"Address: Lot F1.07, 1B, Jalan Persiaran Flora Utama, Taman Flora Utama, 83000 Batu Pahat, Johor ",KFC AEON Big Batu Pahat,4.2,(338),Operating
Johor,Batu Pahat,"Address: No. C-1, Riverside Business Park, Jalan Komersil Pantai 5, Taman Pantai, 83000 Batu Pahat, Johor ",KFC Riverside Business Park,4.3,(270),Operating
Johor,Batu Pahat,"Address: 2, Jalan Kundang 1, Taman Bukit Pasir, 83000 Batu Pahat, Johor Darul Ta'zim ","KFC Bukit Pasir, BP3",3.9,(603),Operating
Johor,Batu Pahat,"Address: 3-1, Jalan Timun, Taman Anggerik, Tongkang Pechah, 83000 Batu Pahat, Johor ",KFC Tongkang Pechah,3.8,(136),Operating
Johor,Simpang Renggam,"Address: Shell Gas Station, 794, GM 399, Mukim Renggam, Daerah Kluang, 86200 Simpang Renggam, Johor ",KFC Shell Simpang Renggam DT,4.1,(828),Operating
Johor,Kluang,"Address: 15, Jalan Dato Haji Hassan, Yunos, 86000 Kluang, Johor Darul Ta'zim ",KFC Kluang 1,4.0,(865),Operating
Johor,Kluang,"Address: 91, 86000 Kluang, Johor ",KFC SERI IMPIAN KLUANG DT,3.8,(567),Operating
Johor,Kluang,"Address: 31, Jalan Intan 2/1, Taman Intan, 86000 Kluang, Johor Darul Ta'zim ",KFC Kluang 2,3.9,(422),Operating
Johor,Kluang,"Address: Lot LG-09, & LG-10, Kluang Mall, Jln Rambutan, Taman Suria, 86000 Kluang, Johor ",KFC Kluang Mall 2,4.0,(409),Operating
Johor,Kluang,"Address: K1-5, Ground Floor, Kluang Parade, Jln Sentol, Kampung Masjid Lama, 86000 Kluang, Johor ",KFC Kluang Parade,4.4,(126),No status
Johor,Kluang,"Address: Shell Gas Station, 794, GM 399, Mukim Renggam, Daerah Kluang, 86200 Simpang Renggam, Johor ",KFC Shell Simpang Renggam DT,4.1,(828),Operating
Johor,Kluang,"Address: Kawasan Pembangunan, Lot 11 & 13 (Ground Floor), Jalan Ciku Jalan Ciku, Jln Haji Manan, 86000 Kluang, Johor ",KFC Versis Kluang,3.8,(83),No status
Johor,Sembrong,"Address: 91, 86000 Kluang, Johor ",KFC SERI IMPIAN KLUANG DT,3.8,(567),Operating
Johor,Sembrong,"Address: Shell Gas Station, 794, GM 399, Mukim Renggam, Daerah Kluang, 86200 Simpang Renggam, Johor ",KFC Shell Simpang Renggam DT,4.1,(828),Operating
Johor,Sembrong,"Address: 15, Jalan Dato Haji Hassan, Yunos, 86000 Kluang, Johor Darul Ta'zim ",KFC Kluang 1,4.0,(865),Operating
Johor,Sembrong,"Address: 31, Jalan Intan 2/1, Taman Intan, 86000 Kluang, Johor Darul Ta'zim ",KFC Kluang 2,3.9,(422),Operating
Johor,Sembrong,"Address: Kawasan Pembangunan, Lot 11 & 13 (Ground Floor), Jalan Ciku Jalan Ciku, Jln Haji Manan, 86000 Kluang, Johor ",KFC Versis Kluang,3.8,(83),No status
