Store,State,Area,Count,Duration
KFC,Perak,Ipoh Timor,5,36.64
KFC,Perak,Ipoh Barat,15,62.69
KFC,Perak,Batu Gajah,1,28.09
KFC,Perak,Kuala Kangsar,2,30.17
KFC,Perak,Beruas,1,26.24
KFC,Perak,Parit,5,36.1
KFC,Perak,Kampar,4,32.84
KFC,Perak,Gopeng,2,29.17
KFC,Perak,Tapah,2,28.5
KFC,Perak,Pasir Salak,13,55.47
KFC,Perak,Lumut,1,26.85
KFC,Perak,Bagan Datuk,2,28.22
KFC,Perak,Teluk Intan,2,28.66
KFC,Perak,Tanjong Malim,2,29.4
KFC,Pulau Pinang,Kepala Batas,3,32.42
KFC,Pulau Pinang,Tasek Gelugor,20,76.89
KFC,Pulau Pinang,Bagan,7,41.01
KFC,Pulau Pinang,Permatang Pauh,3,33.16
KFC,Pulau Pinang,Bukit Mertajam,10,49.99
KFC,Pulau Pinang,Batu Kawan,2,30.95
KFC,Pulau Pinang,Nibong Tebal,1,26.48
KFC,Pulau Pinang,Bukit Bendera,16,63.54
KFC,Pulau Pinang,Tanjong,2,29.99
KFC,Pulau Pinang,Jelutong,7,40.81
KFC,Pulau Pinang,Bukit Gelugor,1,26.57
KFC,Pulau Pinang,Bayan Baru,4,33.63
KFC,Pulau Pinang,Balik Pulau,2,29.84
KFC,Sabah,Kudat,1,26.4
KFC,Sabah,Kota Marudu,2,29.27
KFC,Sabah,Kota Belud,2,28.67
KFC,Sabah,Tuaran,3,31.09
KFC,Sabah,Sepanggar,2,28.52
KFC,Sabah,Kota Kinabalu,35,132.59
KFC,Sabah,Putatan,1,26.7
KFC,Sabah,Penampang,3,32.54
KFC,Sabah,Papar,3,31.01
KFC,Sabah,Kimanis,13,55.46
KFC,Sabah,Beaufort,1,26.18
KFC,Sabah,Sipitang,1,26.73
KFC,Sabah,Ranau,2,28.68
KFC,Sabah,Keningau,2,29.72
KFC,Sabah,Tenom,1,26.17
KFC,Sabah,Pensiangan,22,85.44
KFC,Sabah,Beluran,2,30.67
KFC,Sabah,Libaran,1,26.22
KFC,Sabah,Batu Sapi,13,56.18
KFC,Sabah,Sandakan,6,38.54
KFC,Sabah,Kinabatangan,2,28.71
KFC,Sabah,Lahad Datu,4,33.42
KFC,Sabah,Semporna,2,28.62
KFC,Sabah,Tawau,10,48.41
KFC,Sabah,Kalabakan,15,63.26
KFC,Sarawak,Mas Gading,1,26.91
KFC,Sarawak,Santubong,19,78.3
KFC,Sarawak,Petra Jaya,3,31.3
KFC,Sarawak,Bandar Kuching,19,75.58
KFC,Sarawak,Stampin,26,95.56
KFC,Sarawak,Kota Samarahan,3,32.67
KFC,Sarawak,Puncak Borneo,11,52.3
KFC,Sarawak,Serian,3,31.14
KFC,Sarawak,Batang Sadong,26,97.4
KFC,Sarawak,Batang Lupar,18,75.45
KFC,Sarawak,Sri Aman,1,26.57
KFC,Sarawak,Lubok Antu,2,27.43
KFC,Sarawak,Betong,1,26.03
KFC,Sarawak,Saratok,1,26.48
KFC,Sarawak,Tanjong Manis,6,37.79
KFC,Sarawak,Igan,9,45.18
KFC,Sarawak,Sarikei,1,26.09
KFC,Sarawak,Julau,5,34.74
